"","CONDITION","SYNDROME","AGERANGE","prev_pop3"
"97","EAEC","03Inpatient","0-11mo",0.386073807789426
"98","EAEC","03Inpatient","12-23mo",0.333795410002686
"99","EAEC","03Inpatient","24-59mo",0.253398431214884
"100","EAEC","03Inpatient","99MixedAges",0.202799607747237
"101","EAEC","04Unspecified","0-11mo",0.434099786563828
"102","EAEC","04Unspecified","12-23mo",0.379336419250938
"103","EAEC","04Unspecified","24-59mo",0.292791294409052
"104","EAEC","04Unspecified","99MixedAges",0.236821560052241
"105","EPAP","00Asymptomatic","0-11mo",0.153753078807064
"106","EPAP","00Asymptomatic","12-23mo",0.194900065939892
"107","EPAP","00Asymptomatic","24-59mo",0.195484691036651
"108","EPAP","00Asymptomatic","99MixedAges",0.153558922849918
"109","EPAP","01CommunityDetected","0-11mo",0.129547310742006
"110","EPAP","01CommunityDetected","12-23mo",0.165483161800608
"111","EPAP","01CommunityDetected","99MixedAges",0.129379048107501
"112","EPAP","02Outpatient","0-11mo",0.107825719364189
"113","EPAP","02Outpatient","12-23mo",0.138696183872453
"114","EPAP","02Outpatient","24-59mo",0.139141355536486
"115","EPAP","02Outpatient","99MixedAges",0.107682179642914
"116","EPAP","03Inpatient","0-11mo",0.137534226124978
"117","EPAP","03Inpatient","12-23mo",0.175239580565602
"118","EPAP","03Inpatient","24-59mo",0.175778107596133
"119","EPAP","03Inpatient","99MixedAges",0.13735722666368
"120","EPAP","04Unspecified","0-11mo",0.160645989055753
"121","EPAP","04Unspecified","12-23mo",0.203194711380244
"122","EPAP","04Unspecified","24-59mo",0.203797919063519
"123","EPAP","04Unspecified","99MixedAges",0.160444779166774
"124","EPTP","00Asymptomatic","0-11mo",0.117924178818638
"125","EPTP","00Asymptomatic","12-23mo",0.11157804182438
"126","EPTP","00Asymptomatic","24-59mo",0.0842066589857823
"127","EPTP","00Asymptomatic","99MixedAges",0.067585022093843
"128","EPTP","01CommunityDetected","0-11mo",0.143784160758017
"129","EPTP","01CommunityDetected","12-23mo",0.13626134018303
"130","EPTP","01CommunityDetected","99MixedAges",0.0834503321304323
"131","EPTP","02Outpatient","0-11mo",0.119800166722757
"132","EPTP","02Outpatient","12-23mo",0.113366047876168
"133","EPTP","02Outpatient","24-59mo",0.0855983068237913
"134","EPTP","02Outpatient","99MixedAges",0.0687225849999362
"135","EPTP","03Inpatient","0-11mo",0.153744712921523
"136","EPTP","03Inpatient","12-23mo",0.145789489171047
"137","EPTP","03Inpatient","24-59mo",0.111074910318152
"138","EPTP","03Inpatient","99MixedAges",0.0896690143887142
"139","EPTP","04Unspecified","0-11mo",0.131960923490087
"140","EPTP","04Unspecified","12-23mo",0.124966412321178
"141","EPTP","04Unspecified","24-59mo",0.0946606493902587
"142","EPTP","04Unspecified","99MixedAges",0.0761470682500019
"143","ETLT","00Asymptomatic","0-11mo",0.0691965784915894
"144","ETLT","00Asymptomatic","12-23mo",0.0971639869984848
"145","ETLT","00Asymptomatic","24-59mo",0.0845642550253985
"146","ETLT","00Asymptomatic","99MixedAges",0.0605158199295991
"147","ETLT","01CommunityDetected","0-11mo",0.0891184297852857
"148","ETLT","01CommunityDetected","12-23mo",0.124064503059897
"149","ETLT","01CommunityDetected","99MixedAges",0.0781482896137073
"150","ETLT","02Outpatient","0-11mo",0.072343905059932
"151","ETLT","02Outpatient","12-23mo",0.101444741304097
"152","ETLT","02Outpatient","24-59mo",0.0883442210936622
"153","ETLT","02Outpatient","99MixedAges",0.0632951611622769
"154","ETLT","03Inpatient","0-11mo",0.071175649396985
"155","ETLT","03Inpatient","12-23mo",0.0998571330883274
"156","ETLT","03Inpatient","24-59mo",0.0869417982979751
"157","ETLT","03Inpatient","99MixedAges",0.0622632226674032
"158","ETLT","04Unspecified","99MixedAges",0.093476716938706
"159","ETST","00Asymptomatic","0-11mo",0.0339050428699754
"160","ETST","00Asymptomatic","12-23mo",0.0524790734366766
"161","ETST","00Asymptomatic","24-59mo",0.0450168716420104
"162","ETST","00Asymptomatic","99MixedAges",0.0325268457818811
"163","ETST","01CommunityDetected","0-11mo",0.0571912296443814
"164","ETST","01CommunityDetected","12-23mo",0.0873683643222923
"165","ETST","01CommunityDetected","99MixedAges",0.0549202879617169
"166","ETST","02Outpatient","0-11mo",0.0571405323576098
"167","ETST","02Outpatient","12-23mo",0.0872933932511157
"168","ETST","02Outpatient","24-59mo",0.0752740832468697
"169","ETST","02Outpatient","99MixedAges",0.0548714865946619
"170","ETST","03Inpatient","0-11mo",0.0700970885682701
"171","ETST","03Inpatient","12-23mo",0.106316129618134
"172","ETST","03Inpatient","24-59mo",0.0919414510911127
"173","ETST","03Inpatient","99MixedAges",0.0673502910488934
"174","ETST","04Unspecified","99MixedAges",0.062182460095501
"175","Entamoeba","00Asymptomatic","0-11mo",0.00375922375425178
"176","Entamoeba","00Asymptomatic","12-23mo",0.00464588525090284
"177","Entamoeba","00Asymptomatic","24-59mo",0.0077632490291898
"178","Entamoeba","00Asymptomatic","99MixedAges",0.00835686842973169
"179","Entamoeba","01CommunityDetected","0-11mo",0.00904077654030343
"180","Entamoeba","01CommunityDetected","12-23mo",0.0111592067764736
"181","Entamoeba","01CommunityDetected","99MixedAges",0.0199684475822657
"182","Entamoeba","02Outpatient","0-11mo",0.00607196009889046
"183","Entamoeba","02Outpatient","12-23mo",0.00750000374076091
"184","Entamoeba","02Outpatient","24-59mo",0.0125083989085448
"185","Entamoeba","02Outpatient","99MixedAges",0.01345993575504
"186","Entamoeba","03Inpatient","0-11mo",0.0113041669877313
"187","Entamoeba","03Inpatient","12-23mo",0.0139454901832892
"188","Entamoeba","03Inpatient","24-59mo",0.0231576604581811
"189","Entamoeba","03Inpatient","99MixedAges",0.0248988798589806
"190","Entamoeba","04Unspecified","0-11mo",0.00697660989091898
"191","Entamoeba","04Unspecified","12-23mo",0.00861557078010787
"192","Entamoeba","04Unspecified","24-59mo",0.0143581485820343
"193","Entamoeba","04Unspecified","99MixedAges",0.0154481979685152
"194","Giardia","00Asymptomatic","0-11mo",0.055205045988303
