"","CONDITION","SYNDROME","AGERANGE","RawPrev","MEPrev","PrevPercentageChange","aOR","aOR_CI_lo","aOR_CI_hi","PAF"
"1","Adenovirus","01CommunityDetected","0-11mo",0.207489372110901,0.134577178507101,35.140206393236,1.86295366577934,1.25194378467119,2.77216629319518,0.104050125790539
"2","Adenovirus","02Outpatient","0-11mo",0.185922292514386,0.111420953006795,40.07122464985,1.09304374913892,0.760117612187812,1.57178917890467,0.010260650795535
"3","Adenovirus","03Inpatient","0-11mo",0.270510852619676,0.154206477382098,42.994347217964,2.26632762749608,1.48590165161415,3.45664930755844,0.163373091474327
"4","Adenovirus","01CommunityDetected","12-23mo",0.22131286975135,0.132563839688004,40.1011609325105,1.99412133099429,1.25727681377082,3.16280379879119,0.116439601361535
"5","Adenovirus","02Outpatient","12-23mo",0.199963495895036,0.109710125481854,45.1349232564713,1.59384030221204,1.02289133528658,2.48347680865207,0.0611653533162989
"6","Adenovirus","03Inpatient","12-23mo",0.263012457263436,0.151951036385396,42.226677030282,1.74984264878456,1.0668861328807,2.86998696593589,0.102285071272209
"7","Adenovirus","02Outpatient","24-59mo",0.181946628638046,0.0790267050369806,56.5659965075848,1.30611458832491,0.960598384316365,1.77590900181372,0.0236198344945185
"8","Adenovirus","03Inpatient","24-59mo",0.132275623411535,0.110925740177781,16.1404517953623,1.19746920516527,0.811755943104329,1.76645765208135,0.0214348987683271
"9","Astrovirus","01CommunityDetected","0-11mo",0.161179539796634,0.0805549859798433,50.0215808523325,1.86149849970424,1.60625822863859,2.15729737760665,0.0648944542570108
"10","Astrovirus","02Outpatient","0-11mo",0.0491459760224281,0.0478128092107263,2.71266728143386,1.07133995559409,0.870665971676707,1.31826594559794,0.00339936856319766
"11","Astrovirus","03Inpatient","0-11mo",0.0663366694859063,0.0623523351087048,6.00623216100409,1.49996447488539,1.09492310024997,2.05484150019719,0.0302315166180374
"12","Astrovirus","01CommunityDetected","12-23mo",0.202966650186656,0.0848859351876326,58.1773975628172,2.48658568965152,2.05258404459815,3.01235333493506,0.11205053520577
"13","Astrovirus","02Outpatient","12-23mo",0.0587615117996437,0.0504800595835914,14.0933273539476,1.55620864962155,1.2125061302147,1.99733865323066,0.0273106329578818
"14","Astrovirus","03Inpatient","12-23mo",0.0344936045863425,0.0657746487197166,-90.6865040882378,1.87601494319951,1.27417931391143,2.76211678268739,0.0544804356077989
"15","Astrovirus","02Outpatient","24-59mo",0.0488883206536369,0.0409297483178208,16.2790871713528,1.28052003859608,0.905989661774766,1.80987889644788,0.0113512835155535
"16","Astrovirus","03Inpatient","24-59mo",0.0228277218606464,0.0534937751855857,-134.336897532494,1.70506507543768,1.00397884240796,2.89572527694361,0.0363457546157566
"17","Campylobacter","01CommunityDetected","0-11mo",0.296326420542056,0.177547710490841,40.0837393553834,1.37900555028746,0.999818772450034,1.90200100270537,0.0630489078638642
"18","Campylobacter","02Outpatient","0-11mo",0.144700245781677,0.172021392466427,-18.881202680175,1.02336301153076,0.757535193814743,1.38247286980231,0.00400285056837129
"19","Campylobacter","03Inpatient","0-11mo",0.319927533472751,0.151965626549278,52.4999849498037,1.02964221037847,0.738727298023459,1.43512103076416,0.00448439667234692
"20","Campylobacter","01CommunityDetected","12-23mo",0.319524254057164,0.217681901009643,31.8731212902859,1.06839142959678,0.892825853607269,1.27848027946774,0.0146691877538737
"21","Campylobacter","02Outpatient","12-23mo",0.181395311462273,0.211227203014777,-16.4457897571999,1.0737852416879,0.880417354556569,1.30962291837997,0.015346271672211
"22","Campylobacter","03Inpatient","12-23mo",0.296569723965537,0.187636348702886,36.7311180002007,0.937117849564684,0.739241814375978,1.18796021395793,0
"23","Campylobacter","02Outpatient","24-59mo",0.134960859128402,0.162125342096803,-20.1276749005849,0.8649600374687,0.619226471416326,1.20821040597091,0
"24","Campylobacter","03Inpatient","24-59mo",0.312759659802645,0.143024044103072,54.2703032119546,0.720744053435764,0.480351803963577,1.08144069883082,0
"25","Cryptosporidium","01CommunityDetected","0-11mo",0.0514638401474015,0.0792119133547514,-53.9176111379845,1.41916386056731,1.14015635728481,1.76644725109156,0.0321357746258847
"26","Cryptosporidium","02Outpatient","0-11mo",0.10628408508969,0.0839137794002806,21.0476532498084,1.63994961401776,1.33499331755398,2.01456793914495,0.0509638043387359
"27","Cryptosporidium","03Inpatient","0-11mo",0.257119429939739,0.13145649222749,48.8733728686706,2.37382081813387,1.85080887765953,3.04462840254562,0.152971389786503
"28","Cryptosporidium","01CommunityDetected","12-23mo",0.122654466700947,0.118931608916937,3.03524028447042,1.27631938890181,0.996446901917581,1.63479978647314,0.0318174879079956
"29","Cryptosporidium","02Outpatient","12-23mo",0.129270531938088,0.125669381973093,2.78574699972603,1.20780266021758,0.932557272490126,1.56428705138226,0.0254498241819031
"30","Cryptosporidium","03Inpatient","12-23mo",0.239137820017973,0.191913374198728,19.7477947301251,1.96036373169146,1.43588283033207,2.67642030348848,0.155624090355755
